price,quantity,type,timestamp
532.6,161643.6877,1,2022-05-21 23:36:38
532.7,4800.4901,1,2022-05-21 23:36:38
532.8,61073.8924,1,2022-05-21 23:36:38
532.0,21937.4828,0,2022-05-21 23:36:40
531.9,1078.3229,0,2022-05-21 23:36:40
531.8,42918.9694,0,2022-05-21 23:36:40
531.7,1570.0036,0,2022-05-21 23:36:40
531.6,86608.7347,0,2022-05-21 23:36:40
532.4,34042.8051,1,2022-05-21 23:36:40
532.5,4024.5033,1,2022-05-21 23:36:40
532.6,161643.6877,1,2022-05-21 23:36:40
532.7,4800.4901,1,2022-05-21 23:36:40
532.8,61073.8924,1,2022-05-21 23:36:40
532.0,21937.4828,0,2022-05-21 23:36:42
531.9,1078.3229,0,2022-05-21 23:36:42
531.8,42918.9694,0,2022-05-21 23:36:42
531.7,1570.0036,0,2022-05-21 23:36:42
531.6,86608.7347,0,2022-05-21 23:36:42
532.4,36113.9532,1,2022-05-21 23:36:42
532.5,4024.5033,1,2022-05-21 23:36:42
532.6,161643.6877,1,2022-05-21 23:36:42
532.7,4800.4901,1,2022-05-21 23:36:42
532.8,61073.8924,1,2022-05-21 23:36:42
532.0,23993.7028,0,2022-05-21 23:36:45
531.9,1078.3229,0,2022-05-21 23:36:45
531.8,42918.9694,0,2022-05-21 23:36:45
531.7,1570.0036,0,2022-05-21 23:36:45
531.6,86608.7347,0,2022-05-21 23:36:45
532.4,36113.9532,1,2022-05-21 23:36:45
532.5,4024.5033,1,2022-05-21 23:36:45
532.6,161643.6877,1,2022-05-21 23:36:45
532.7,4800.4901,1,2022-05-21 23:36:45
532.8,61073.8924,1,2022-05-21 23:36:45
532.0,23993.7028,0,2022-05-21 23:36:47
531.9,1078.3229,0,2022-05-21 23:36:47
531.8,42918.9694,0,2022-05-21 23:36:47
531.7,1570.0036,0,2022-05-21 23:36:47
531.6,86608.7347,0,2022-05-21 23:36:47
532.4,36113.9532,1,2022-05-21 23:36:47
532.5,4024.5033,1,2022-05-21 23:36:47
532.6,161643.6877,1,2022-05-21 23:36:47
532.7,4800.4901,1,2022-05-21 23:36:47
532.8,61073.8924,1,2022-05-21 23:36:47
532.0,23993.7028,0,2022-05-21 23:36:49
531.9,1078.3229,0,2022-05-21 23:36:49
531.8,42918.9694,0,2022-05-21 23:36:49
531.7,1570.0036,0,2022-05-21 23:36:49
531.6,86608.7347,0,2022-05-21 23:36:49
532.4,36113.9532,1,2022-05-21 23:36:49
532.5,4024.5033,1,2022-05-21 23:36:49
532.6,161643.6877,1,2022-05-21 23:36:49
532.7,4800.4901,1,2022-05-21 23:36:49
532.8,61073.8924,1,2022-05-21 23:36:49
532.0,23993.7028,0,2022-05-21 23:36:52
531.9,1078.3229,0,2022-05-21 23:36:52
531.8,42918.9694,0,2022-05-21 23:36:52
531.7,1570.0036,0,2022-05-21 23:36:52
531.6,86608.7347,0,2022-05-21 23:36:52
532.4,36113.9532,1,2022-05-21 23:36:52
532.5,4024.5033,1,2022-05-21 23:36:52
532.6,161643.6877,1,2022-05-21 23:36:52
532.7,4800.4901,1,2022-05-21 23:36:52
532.8,61073.8924,1,2022-05-21 23:36:52
532.0,23993.7028,0,2022-05-21 23:36:54
531.9,1078.3229,0,2022-05-21 23:36:54
531.8,42918.9694,0,2022-05-21 23:36:54
531.7,1570.0036,0,2022-05-21 23:36:54
531.6,86608.7347,0,2022-05-21 23:36:54
532.4,36113.9532,1,2022-05-21 23:36:54
532.5,4024.5033,1,2022-05-21 23:36:54
532.6,161643.6877,1,2022-05-21 23:36:54
532.7,4800.4901,1,2022-05-21 23:36:54
532.8,61073.8924,1,2022-05-21 23:36:54
531.8,42775.6085,0,2022-05-21 23:36:56
531.7,1570.0036,0,2022-05-21 23:36:56
531.6,86608.7347,0,2022-05-21 23:36:56
531.5,74227.7194,0,2022-05-21 23:36:56
531.4,19775.6494,0,2022-05-21 23:36:56
532.3,4560.0034,1,2022-05-21 23:36:56
532.4,41130.9471,1,2022-05-21 23:36:56
532.5,4168.2038,1,2022-05-21 23:36:56
532.6,161643.6877,1,2022-05-21 23:36:56
532.7,4800.4901,1,2022-05-21 23:36:56
531.8,42775.6085,0,2022-05-21 23:36:59
531.7,1570.0036,0,2022-05-21 23:36:59
531.6,86608.7347,0,2022-05-21 23:36:59
531.5,74227.7194,0,2022-05-21 23:36:59
531.4,19775.6494,0,2022-05-21 23:36:59
532.3,4560.0034,1,2022-05-21 23:36:59
532.4,41130.9471,1,2022-05-21 23:36:59
532.5,4168.2038,1,2022-05-21 23:36:59
532.6,161643.6877,1,2022-05-21 23:36:59
532.7,4800.4901,1,2022-05-21 23:36:59
531.8,42775.6085,0,2022-05-21 23:37:01
531.7,1570.0036,0,2022-05-21 23:37:01
531.6,86608.7347,0,2022-05-21 23:37:01
531.5,74227.7194,0,2022-05-21 23:37:01
531.4,19775.6494,0,2022-05-21 23:37:01
532.3,779.0058,1,2022-05-21 23:37:01
532.4,41130.9471,1,2022-05-21 23:37:01
532.5,4168.2038,1,2022-05-21 23:37:01
532.6,161643.6877,1,2022-05-21 23:37:01
532.7,4800.4901,1,2022-05-21 23:37:01
531.8,42775.6085,0,2022-05-21 23:37:03
531.7,1570.0036,0,2022-05-21 23:37:03
531.6,86608.7347,0,2022-05-21 23:37:03
531.5,74227.7194,0,2022-05-21 23:37:03
531.4,19775.6494,0,2022-05-21 23:37:03
532.3,779.0058,1,2022-05-21 23:37:03
532.4,41130.9471,1,2022-05-21 23:37:03
532.5,4168.2038,1,2022-05-21 23:37:03
532.6,161643.6877,1,2022-05-21 23:37:03
532.7,4800.4901,1,2022-05-21 23:37:03
531.8,42775.6085,0,2022-05-21 23:37:06
531.7,1570.0036,0,2022-05-21 23:37:06
531.6,86608.7347,0,2022-05-21 23:37:06
531.5,74227.7194,0,2022-05-21 23:37:06
531.4,19775.6494,0,2022-05-21 23:37:06
532.0,2000.0,1,2022-05-21 23:37:06
532.3,4037.2994,1,2022-05-21 23:37:06
532.4,41130.9471,1,2022-05-21 23:37:06
532.5,4168.2038,1,2022-05-21 23:37:06
532.6,161643.6877,1,2022-05-21 23:37:06
531.8,42775.6085,0,2022-05-21 23:37:08
531.7,1570.0036,0,2022-05-21 23:37:08
531.6,86608.7347,0,2022-05-21 23:37:08
531.5,74227.7194,0,2022-05-21 23:37:08
531.4,19775.6494,0,2022-05-21 23:37:08
532.0,2000.0,1,2022-05-21 23:37:08
532.3,4037.2994,1,2022-05-21 23:37:08
532.4,41130.9471,1,2022-05-21 23:37:08
532.5,41691.6559,1,2022-05-21 23:37:08
532.6,124120.2356,1,2022-05-21 23:37:08
532.0,183714.9963,0,2022-05-21 23:37:10
531.8,42775.6085,0,2022-05-21 23:37:10
531.7,1570.0036,0,2022-05-21 23:37:10
531.6,86608.7347,0,2022-05-21 23:37:10
531.5,74227.7194,0,2022-05-21 23:37:10
532.3,4037.2994,1,2022-05-21 23:37:10
532.4,41130.9471,1,2022-05-21 23:37:10
532.5,4168.2038,1,2022-05-21 23:37:10
532.6,124120.2356,1,2022-05-21 23:37:10
532.7,4800.4901,1,2022-05-21 23:37:10
532.0,188047.1905,0,2022-05-21 23:37:12
531.8,80299.0606,0,2022-05-21 23:37:12
531.7,1570.0036,0,2022-05-21 23:37:12
531.6,49085.2826,0,2022-05-21 23:37:12
531.5,74227.7194,0,2022-05-21 23:37:12
532.3,4037.2994,1,2022-05-21 23:37:12
532.4,41130.9471,1,2022-05-21 23:37:12
